RPS,P95_Latency,P99_Latency,Avg_Latency,Total_CPU
5,11.138591490398852,11.235127459597889,10.118083461067842,3.8793679698680883
6,11.2741152322203,11.381288992972577,10.013845887721077,9.876931926300179
7,11.242871351510164,11.37485444424407,10.041390387680186,16.478705940096496
8,11.351861021815582,11.42133465454884,10.11851164522247,23.772163166251005
9,11.377342239000486,11.422986959630204,10.097364827507393,32.11092929477568
12,11.38984289955533,11.446598145733184,10.071116842375034,55.30929516079357
11,11.376971287245418,11.447563932928727,10.06396847645472,51.426261909038146
13,11.408542992976137,11.461070924793889,10.073120955942372,51.889806395650304
14,11.403314100195374,11.456269527513884,10.085649637831379,75.1318698528428
15,11.389405962616772,11.45117413192285,10.027299876587731,91.20821129766416
16,11.38858080106878,11.448703637090832,10.017399478957685,99.17488533502481
18,11.381077515460953,11.455896667528778,10.025391421517272,130.06323555032876
17,11.384278004879716,11.460673368286706,10.032749864394122,129.8603320165329
21,11.384984920771577,11.487082667234658,10.02846681682515,183.444158377794
23,11.386286533616726,11.486596350919156,10.02436970005251,184.18664546319397
22,11.374874918772422,11.487020258070112,10.01114775037,215.4814275267541
25,11.364764627327332,11.47386965218833,9.995310321738899,260.7138214357084
24,11.364102230186433,11.482390598768799,9.983905425494413,246.6300819842461
27,11.363168308099157,11.473144945666155,9.971371260203581,266.76617071853815
28,11.950429955794675,13.901761365204573,10.140808866274957,326.1339789401044
26,11.364277091138216,11.460008819793682,10.010634649273445,319.7223307845737
29,18.60496050071409,19.98063805986891,11.150393849585576,378.2231628427324
31,30.949931887212802,34.67746310778019,15.040767941366237,427.5349842217334
33,22.068007355907163,24.917372755374704,11.311245811097637,393.89597323252474
30,33.82403797524005,38.579855297171314,15.199039076847523,438.1564359061116
34,49.05443749913507,54.34166295850082,22.0096707077042,486.32324871239143
38,80.63673354673581,86.70022730627291,46.70038577466046,583.8351953269416
36,77.06701839202465,82.25621225329638,42.70809357840957,572.0916557709133
35,78.96951414455253,86.23128959477485,43.26091692858536,577.0327178574341
37,85.52917243788605,91.79943167946882,48.8447692198786,596.0322303330481
41,131.70438688289187,139.17507711529046,95.73862393186619,746.4260418038212
45,149.22525215562834,156.4530989677047,111.77305213590178,799.5420884980176
46,144.46287753724025,153.16132305419447,107.51198444252854,784.9476994130546
43,170.9922871341086,180.4100884828835,133.78125193866904,871.8068126389148
49,168.0254962158556,175.99447316854904,130.64567238367835,861.4797425126651
52,214.50444112081016,225.55619290236154,173.04274698265286,1001.7942991563779
47,219.21381063866573,226.01239292013202,177.8621139671541,1017.0855883323559
55,237.75801526087514,244.5598810020455,194.46528088405807,1070.7495883270997
51,243.64114928342354,256.814614117823,202.61326855847872,1095.8525980623006
48,260.5288473411744,271.13274197404684,217.76551011607063,1144.3407143488052
53,260.1994111905849,272.01901187257135,218.1467350635707,1145.2954973989195
59,306.6518382071864,316.60755786553904,262.62602816972594,1295.3632366072195
56,360.8391336761916,374.4418741497958,313.16916578958785,1466.447115495815
50,302.61042749946705,314.9377492139436,258.9767745287781,1282.352426299549
61,314.99735332065285,325.2136621647702,268.18611324078,1312.9881159600773
58,355.84893356646097,365.9786733050237,305.043045456743,1439.391168729415
57,349.19135695543093,362.0233240032812,302.24816163521984,1427.7113447006923
60,367.01505347454895,376.0379927886664,319.47625067134436,1487.500413178407
62,380.64050061770206,395.7072256417709,333.00447875423697,1534.1374208594175
67,423.3459287458317,434.07134511252184,371.87448309506516,1667.0960180704985
64,434.1230202024532,449.920771490113,381.55230666920454,1699.142048506557
