Replica_0,Replica_1,Replica_2,Replica_3,Replica_4
0.4871557870038245,0.5059011125208251,0.4769192269110261,0.5650281329559541,0.5178391991101247
1.0222183090525372,1.065381224902484,0.9050756770371614,1.1086567118495263,1.1045605583927127
2.023513324777917,1.5822444397343167,1.4835771363632153,1.6518896846762146,1.6433582647936342
2.458853077141742,2.0728469457074707,2.406328720530593,2.204745296329406,2.2265069625458507
2.9831728657621337,3.141839769187029,2.9470518864552524,3.054435797828095,2.6493773517028423
3.4481126657268115,3.608259415175482,3.824098644490784,3.5698991929324815,3.7311642909320835
4.408365396005033,4.524624501154757,4.285760685553541,4.460217920239618,4.262897693435819
5.321096753253618,4.969525805745617,5.1587910979956915,4.940663912040477,5.212382567077833
5.7881765027875245,5.874723217796035,6.122427852870724,5.829433387945768,6.264498399158774
6.822138553166209,6.796166843839882,7.073826566383875,6.801546050718461,6.848921214884099
7.88286869410589,8.180666909977177,8.013900777752703,8.291678308594692,7.947874449539341
8.910546955435972,9.024787108882695,8.893811622849341,9.286098194479276,9.338701966899077
10.302540104055456,10.558320965550644,10.372639352053856,10.207953695185632,10.448352278804705
11.308388881826378,11.447398711747242,11.373965006624646,11.800870858379868,11.467954510951786
12.737489657920865,12.89678835558055,12.85278735541176,12.802802396741384,12.974166010693713
14.266617321290724,13.90443939228595,14.254287605653513,13.79926039408301,14.076996468304124
15.266583452356402,15.337287875956976,15.342250575022256,15.792489018996058,15.470590248627285
16.656978113369064,16.761392116947608,16.805280731075257,16.860001009702238,16.838722640126946
18.107410849259878,18.27415314568787,18.316000785825402,18.32311155103773,18.18753496585328
19.679421634747175,19.732890807721507,19.672191447494715,19.96349851901271,20.126882926048705
21.724544338299346,21.865206085363667,21.790469452026933,21.58691347885898,21.459870412821015
23.531248975655473,23.396714122248103,23.20374251020894,23.447896685873737,23.104001136179445
24.949192037516873,25.187626991879963,25.10066287498032,24.92354654869223,25.049155562323858
26.970523576661364,26.76988680032496,26.729226770312597,27.06252255039074,27.133248705901998
