Time,Active_Replicas,P95_Latency,P99_Latency,Avg_Latency,Total_CPU,Requests
0,1,11.369503049162487,11.43009931743916,10.139379932713044,13.315890618483328,26
1,1,11.270288395817653,11.421951318877076,10.155573175647316,23.517212415289347,21
2,1,11.293580895042131,11.417592663183694,10.08877184071541,35.845175201669264,24
3,1,11.264774923857651,11.410296191633634,9.992505957685909,47.27771063608813,23
4,1,11.289152057169836,11.426604094372353,10.059989072994814,60.32534107192387,27
5,2,11.309726981790858,11.427298490624159,10.064573486175512,71.91639917659228,23
6,2,11.348332191175825,11.436647229525638,10.045543453806262,84.24483804721471,25
7,2,11.327234243006991,11.435238850584446,10.043199443296924,94.4369342215324,21
8,2,11.356448480945422,11.433629274651656,10.054873598386093,106.12487339846305,24
9,2,11.354548341370169,11.434233856319397,10.01993609497145,117.50871860796786,23
10,3,11.354056737479299,11.438618763731727,10.039659950171158,131.60409636503297,28
11,3,11.338555918027325,11.437213344689313,10.029185267491217,143.74541513092436,25
12,3,11.351194717537739,11.44920170579161,10.015414606255284,157.38122565285136,28
13,3,11.350974562157619,11.445925253552268,10.016771573268606,167.98519676754063,21
14,4,11.35943441456368,11.445305091088603,10.0118408454542,181.816187967463,28
15,4,11.362399586073657,11.450495748696937,10.012973627156535,208.93004499881494,54
16,4,11.384353744044773,11.456877005024094,10.020846052851097,238.1614441527707,60
17,5,11.389044954439525,11.461507233870705,10.030857890866217,265.744792914675,56
18,5,11.38852922847203,11.460762200072873,10.013329515296881,293.53709604090204,57
19,5,11.364365827779123,11.4578911486793,9.99444543200576,323.2830596801901,59
20,5,11.369205822155514,11.460762200072873,9.991266414676755,337.5134025401006,28
21,5,11.387949710766197,11.477667143593171,10.003655801504449,349.3411690785273,24
22,5,11.479749337002028,13.472519066082635,10.127612724363578,360.89099170336294,24
23,5,12.824844593625997,13.69120144322808,10.26390037841086,373.37497908417055,24
24,5,13.693085609857878,21.91338982471984,10.699096081580652,383.7464831837031,21
25,5,21.791537204095548,25.436136706081882,11.296985294362331,394.2033462928879,21
26,5,25.16577154659998,28.835504447391713,12.196979136726224,407.45874800919245,26
27,5,29.014891247465467,32.759989706648454,13.297830228663045,420.50642567876014,26
28,5,32.900365828498025,36.516548084774655,14.701317218974367,434.30066063064413,28
29,5,36.326285962044494,41.2735002609351,16.034262895060824,445.22406855985673,23
30,5,41.17376632466849,45.252690018907586,17.429366457440384,455.56572861877584,21
31,5,43.52703793818118,47.56238022960301,19.006710640877262,467.1674602644288,23
32,5,47.56741257162651,51.42148788616113,21.135246906066474,480.82196408022014,27
33,5,50.81321205457717,56.450486774642734,23.223767634020035,493.0407189716318,24
34,5,55.132507970402195,59.584648026486974,25.497691322334077,505.3951130478159,24
35,5,65.89845602181116,71.66425593874432,32.364355238564556,537.4693881623356,63
36,5,75.2473320531326,80.05761413989191,40.41776330156562,568.9465735810879,63
37,5,86.56798311532215,91.40816223626452,48.67131780428605,596.614281252235,55
38,5,93.8057807598958,101.26996024196552,57.88666947082377,625.6057401739287,57
39,5,104.2919851641807,111.61005454709874,67.34846651050161,655.7801505045759,60
40,5,109.02133342066297,115.65018603963205,70.8314193035407,666.7594111294774,22
41,5,112.32883365987533,119.50256826170872,74.64665572349666,679.1245897771555,24
42,5,116.87521512244354,123.20009064279006,78.78071637814867,691.9790682420556,26
43,5,119.81118429497646,127.34861441310332,82.29120179475277,703.0522477046594,22
44,5,124.20824698308583,131.2950212089204,86.62874068621105,716.4525421196605,27
45,5,127.36495005467002,132.72671142012754,90.07124330194986,727.4817242044849,22
46,5,130.58468567827498,137.37504153516062,93.73618984978782,739.2551921638066,24
47,5,131.70320808417108,139.1215099800625,96.96841317062146,749.6931319625022,21
48,5,136.31417875057943,142.0723086264163,100.36034084145537,760.9656760501794,22
49,5,138.7426170326411,149.61324870531706,103.49777908454482,771.2201421081572,21
50,5,141.3747056006584,153.4714877568395,107.1425603493022,783.4279248412513,24
51,5,149.09509887337083,156.23063026480477,111.47954343854184,797.1940671600552,28
52,5,150.96637123009018,159.71746685459726,115.26979246983853,809.830923550693,25
53,5,156.24752871431127,165.83926313592212,119.32563872628954,822.9333427450754,26
54,5,161.76038615093262,167.16828220620457,122.8657451297514,834.5013320273249,24
55,5,168.4061635415615,179.76491435127664,131.50244552693127,862.3239458500386,56
56,5,179.78400037794106,187.07973743119365,140.29678577066755,891.7180961808941,58
57,5,188.15436828381445,195.96618093226925,149.0446211394162,921.2991635696725,58
58,5,195.36037267398976,203.1633911535993,156.9397290990716,948.6471438729186,55
59,5,203.1835541176071,218.64379982453352,165.80766232623657,978.8030374293801,60
60,5,211.29991000217294,220.8454194995779,169.2964109396519,989.8699010845014,22
61,5,213.80507045836305,222.1661612790055,173.53370538305768,1003.9109636082327,28
62,5,219.31280333110539,227.91508687640527,178.03400342431647,1017.712380285506,28
63,5,222.55919157956112,234.06098400630555,182.19755616074346,1030.7010939317388,27
64,5,225.45546438666136,235.97446188062352,186.0864125459408,1043.1912805834897,26
65,5,229.91557237209153,238.93205923110216,189.40658087247704,1054.564603615199,23
66,5,234.3930783340916,241.87488759880046,192.66843154777558,1065.9106799048523,22
67,5,236.7383426756483,244.1976330748761,196.06086601245403,1077.3772570509577,23
68,5,240.91315395651404,253.93792142068799,200.1846079423291,1091.3666199209906,28
69,5,245.55163141235013,256.57591936796774,204.1480044088398,1105.2116720614722,27
70,5,249.267254122826,260.11813289848635,207.8287022270339,1117.4820188754484,24
71,5,253.8795308193148,262.75012110655564,210.72544453106548,1128.4659076021321,21
