RPS,P95_Latency,P99_Latency,Avg_Latency,Total_CPU
26,133.6407134778579,139.97147485931012,105.80144457112358,698.5332375056902
21,117.56875955485316,123.53477560944471,95.32185377000368,627.059592828903
24,136.5578901125592,142.54909993994428,109.7492367742033,718.1993209621265
23,132.2634842128754,138.42284754358712,107.95875113733112,651.2887354897755
27,168.0315777459156,176.7799119393272,135.01042721030038,816.5960044030098
25,236.1238704049705,244.9720387029003,202.8352087189854,1011.7172179203385
28,158.1930600349657,164.43696782410942,131.55164345994254,773.0993745195578
54,263.45867236173314,273.7260472716821,230.0341386000255,1107.32062713506
60,208.34765039218283,218.62024964745333,173.9195187169561,961.4361099782697
56,212.46408554546008,219.67205669971742,178.1631866763982,970.1571172152862
57,52.59715499418391,56.3653612210192,33.949999493060325,459.57141810741535
59,11.364365827779123,11.4578911486793,9.99444543200576,323.2830596801901
63,182.18247557464292,189.78323112975605,143.23222438200534,907.2963007203938
55,199.41667608948265,207.2317172134689,158.2740021469846,953.6725423457992
22,156.3674391428589,163.41968793294294,117.58650795485437,819.0066066796925
58,183.96918433087774,191.52295918173144,144.67070345504186,906.5086298752833
62,286.59704037094497,297.5859131583247,240.9992405188329,1226.5774433572585
65,297.5457655192224,305.1371143448927,250.99055612699487,1259.167063722928
