Time,Active_Replicas,P95_Latency,P99_Latency,Avg_Latency,Total_CPU,Requests
0,5,11.344306030432817,11.428547317713049,10.178893883790526,15.224479347941719,30
1,5,11.262412007303364,11.418071319561797,10.153664528574673,28.315837004487527,27
2,5,11.271076034669083,11.41283409478148,10.121017231961451,43.217244096717884,29
3,5,11.249259196256387,11.407155619884657,10.04060286616357,57.23885145726208,28
4,5,11.271076034669083,11.41819293199016,10.068104005432867,72.75404229975506,32
5,5,11.278892490494233,11.426746703080159,10.08404728852927,87.17520814203147,29
6,5,11.308550597385448,11.432870316935114,10.058780796111717,101.87765442828268,30
7,5,11.290741206150228,11.431368898197245,10.054293055718801,115.15420290212097,27
8,5,11.337292030906294,11.42975626325657,10.064676492193447,129.51408452508608,29
9,5,11.344841083516728,11.433222936166763,10.050315248816498,143.2979321834254,28
10,5,11.337292030906294,11.433960661514304,10.052819948637731,159.19486733181512,32
11,5,11.303155151726564,11.433635194449213,10.046099907835696,173.974207810726,30
12,5,11.310349079271742,11.440761565154153,10.037458373336262,189.3821788379813,32
13,5,11.30405439266971,11.439293364872086,10.040378295682396,202.9709105650912,27
14,5,11.31124832021489,11.442953355515193,10.038394376025614,218.92495037054124,32
15,5,11.30495363361286,11.441509981374995,10.027823134891635,232.51550094534957,27
16,5,11.355634135413172,11.4400666072348,10.022378534726235,247.16111887581442,30
17,5,11.364365827779123,11.44514676148444,10.018109303134183,260.74951839435573,28
18,5,11.359927782112948,11.44514676148444,10.001260083323782,274.8427630455076,28
19,5,11.359927782112948,11.44514676148444,9.997774113338119,289.32957272409794,29
20,5,11.364365827779123,11.445461112623809,9.998879413254578,305.54743911215263,32
21,5,11.369205822155514,11.445461112623809,9.994541562173458,319.59656958493747,29
22,5,11.365154219202687,11.445461112623809,9.981732478916852,333.8291363718226,29
23,5,11.364185738130242,11.44514676148444,9.987187413895416,348.7473967836968,29
24,5,11.497972395667142,13.259067380321937,10.124723438076236,362.12252460142804,27
25,5,12.929756881879532,14.064116037597397,10.332500498035587,375.5978959579753,27
26,5,20.212637619661546,24.12142129407862,11.084811554021037,391.5893968577461,31
27,5,24.871349332162627,29.074290914715455,12.1144168355584,407.2384667759846,31
28,5,29.39743740766003,33.73029236355168,13.486788256435291,422.98082592288745,32
29,5,34.108376580875436,39.236347877672074,14.95525414132738,436.4272443426636,28
30,5,39.22089442334821,42.399403523759986,16.599650795744683,449.900781448909,27
31,5,41.89111663030421,47.04115050487474,18.474074193041222,463.9999596516772,28
32,5,47.17200303018332,51.415105147924216,20.959909276214816,480.1817570096267,32
33,5,51.42595867083934,57.52689768579478,23.494984059482,494.80852756664933,29
34,5,57.526768586616356,62.92908670492214,26.31299892512271,509.75884302608495,29
35,5,61.004446598174745,69.45641121282098,29.622707046384907,525.5703531904281,31
36,5,67.84851057562562,72.20388252973835,33.24849869975245,540.722598536244,31
37,5,72.2160359136606,78.34568927415182,36.781935149095204,554.2403165626905,27
38,5,78.10162449505751,83.97055685355849,40.61766606235112,568.2173269800195,28
39,5,81.51552883790288,87.0000581992858,44.92736884812351,583.3351396791335,30
40,5,85.74252722899956,91.96265785346834,49.08562882591464,596.914238578834,27
41,5,90.2354146285781,95.55776388090428,53.65038960479743,611.715783740474,29
42,5,95.20556059719287,102.20825507475205,58.74360186162109,627.1688898252883,31
43,5,99.3225505368915,106.86545208162514,63.131734616267536,641.1849598681681,28
44,5,105.4578281653754,111.70086598610843,68.06462503996319,656.5139266705706,31
45,5,108.43852373915566,114.95200074242634,72.18215119679681,669.9548810689145,27
46,5,111.70483182415174,118.57572407881243,76.56922602992327,684.223403245805,29
47,5,115.41180256682284,122.60497296705852,80.6862741307241,697.4481902182574,27
48,5,121.23618865703205,129.40542865307464,85.06717230463055,711.5305627800245,28
49,5,123.42435024801928,133.0754054613534,89.19875210121543,724.867078575935,27
50,5,128.79114050810918,138.3751154199677,93.63116309117461,739.8655277623266,29
51,5,135.13773469779227,143.80293806654768,98.58652092496328,755.5916615570446,32
52,5,139.40318262630342,147.25652921030093,103.20685594828653,770.6337323284462,30
53,5,144.88090113129257,153.22903041770084,107.97707314827598,786.233889382011,31
54,5,150.7664716962366,155.27512520709791,112.2822009846065,800.1678885639708,29
55,5,153.83350318060394,165.6048371751298,116.66529264296449,813.8984914490443,28
56,5,159.80939040703382,167.86296525071435,121.08848788713185,828.8804279186354,29
57,5,165.95024594843645,173.50598726322212,125.58026412506649,843.481760434564,29
58,5,168.4467685506858,175.90942410659935,129.5326691982372,856.7054328929361,27
59,5,171.5086801106902,177.46081913675573,133.91442732050254,872.15477064301,30
60,5,175.10918898108088,183.8036962141152,137.9013092695999,885.6580166256199,27
61,5,180.8343428981067,188.1633551946122,142.57202899815314,901.7306313358254,32
62,5,186.71066242197793,195.12536071756378,147.5874758524186,917.6483881624642,32
63,5,191.4531986740435,200.47743824760641,152.66457303742988,933.14560751872,32
64,5,195.32894921560927,204.87754718015987,157.22533788678098,948.1244085589324,31
65,5,200.68947345135481,210.17666263314268,161.47659583609604,961.9232133015922,28
66,5,204.88050040565201,212.21182918867635,165.50666193656454,975.6065852523685,27
67,5,208.71075012584905,218.60120283337267,169.65197072398095,989.5319214680624,28
68,5,212.47501724341367,224.87997641552957,174.48849552014406,1005.5255774828639,32
69,5,218.91685232167393,228.55867252174363,179.05344749211827,1021.5267014811877,31
70,5,223.46798267737225,233.13387693163403,183.47820995140157,1036.198363294437,29
71,5,228.0874509299015,237.49144650181432,187.5790637332179,1050.145126826935,27
72,5,232.18530244803588,244.46907593088443,191.7595552119155,1064.383884626568,28
73,5,237.39782118057417,248.89150489387333,196.38393612105494,1080.9774935309044,32
74,5,242.06523187477276,255.21412944211997,201.03707595426678,1096.840601852805,31
75,5,246.9787037628788,257.2290278900682,205.46120291620684,1110.518371005283,28
76,5,252.96947460095808,264.0812187590753,210.23524054636798,1125.9876622838349,31
77,5,260.8745323661443,270.0167839055273,215.5734464468145,1141.7768228268785,32
78,5,266.3355750320402,274.79942269625934,220.30512536117658,1156.7076176864286,30
79,5,269.5632041767326,277.6933639706877,224.31531751636132,1169.857791511724,27
80,5,273.0044676533921,284.17888956733054,228.94401144492252,1184.4298132373453,30
81,5,275.8008080528987,288.8994145298835,233.00514333095148,1198.1031007234214,27
82,5,282.96783801167464,291.84019085095923,237.87283923370356,1214.753990724604,32
83,5,289.03095918700126,298.3849546508042,243.2995599452189,1230.7855153165278,32
84,5,292.53289393201254,301.87480936081005,247.8666968320809,1245.7530480423773,30
