RPS,P95_Latency,P99_Latency,Avg_Latency,Total_CPU
5,11.138591490398852,11.235127459597889,10.11808346106784,3.8793679698680883
6,11.2741152322203,11.381288992972577,10.013845887721077,9.87693192630018
7,11.242871351510164,11.37485444424407,10.041390387680188,16.478705940096496
8,11.351861021815582,11.42133465454884,10.118511645222469,23.772163166251
9,11.377342239000486,11.422986959630204,10.097364827507391,32.11092929477567
12,11.388505654775983,11.444822477572671,10.052627196611684,55.30929516079356
11,11.378755174799421,11.446153947948586,10.062451961076684,51.426261909038146
13,11.401350123537808,11.459967191720882,10.062914764448632,51.8898063956503
14,11.399183465187292,11.45271819119286,10.050658742669745,75.13186985284278
15,11.389251244826523,11.447622795601823,9.99886956105914,91.20821129766415
16,11.388112468832189,11.445305091088603,9.991221069609576,99.17488533502483
18,11.379164410372447,11.455566456366665,9.998611192148944,130.06323555032873
17,11.383912817836624,11.454484721832012,10.004199247309863,129.86033201653288
21,11.378331846717732,11.486340940598467,10.01133912537718,183.444158377794
23,11.37361511952422,11.485515115615257,10.007728867071904,184.18664546319394
22,11.365694488149328,11.486104880326474,9.99694401878701,215.4814275267541
25,11.360942481449694,11.485384056790544,9.97484509839958,260.7138214357084
24,11.36389389772484,11.485187468553471,9.97011381502658,246.63008198424603
27,11.364185738130242,11.485072792081846,9.956381671618477,266.76617071853815
28,11.938308718391147,13.90353461062491,10.123556729067134,326.1339789401043
26,11.359944022463639,11.45927034019045,9.981333490744685,319.7223307845736
29,18.606426723525253,19.979618950546193,11.143961385702774,378.22316284273234
31,30.94418316675932,34.68079479422646,15.011378892521288,427.53498422173334
33,22.054480720049444,24.92203830805449,11.302863847542277,393.8959732325247
30,33.824967989123,38.56874016261319,15.161900016930764,438.1564359061116
34,49.06143980478445,54.34969691916891,22.00601699644844,486.3232487123915
38,80.63468339478024,86.69621660803998,46.70741798846174,583.8351953269416
36,77.06985222022246,82.25782150588618,42.717303150859095,572.0916557709132
35,78.97071601211806,86.23941608273665,43.25802083241885,577.0327178574341
37,85.5265398568626,91.79680253925876,48.85408114693324,596.032230333048
41,131.70801734536533,139.17908324959964,95.73995637205708,746.4260418038215
45,149.22285464336983,156.45309924875505,111.78977364353972,799.5420884980176
46,144.4652788994108,153.15910513717333,107.51390209659662,784.9476994130546
43,170.9907456930679,180.40907052139488,133.78376991761434,871.8068126389148
49,168.02318137157516,175.9927258033025,130.64896015043993,861.4797425126651
52,214.504678491596,225.55652534818248,173.0534450478043,1001.7942991563781
47,219.21258226781134,226.01315222494944,177.79868655794291,1017.0855883323559
55,237.7567330848467,244.55861056355639,194.505834763555,1070.7495883270997
51,243.6398294384543,256.8132885309472,202.60861320105343,1095.8525980623006
48,260.5285931197162,271.1324135514541,217.76990804759208,1144.3407143488052
53,260.19853579512016,272.01770543820504,218.29974754969,1145.2954973989192
59,306.651217875337,316.6076226515274,262.62724915741484,1295.3632366072195
56,360.83929804120316,374.4413292362036,313.15455803824744,1466.447115495815
50,302.61077081771487,314.93893887486496,258.97052353642664,1282.352426299549
61,314.9970343278368,325.21394646058434,268.1792288686428,1312.9881159600773
58,355.84932988685364,365.9789096936786,305.06420765204246,1439.3911687294149
57,349.19015476849665,362.0239352993307,302.2635315810519,1427.7113447006923
60,367.01565114046736,376.03827450326145,319.4235299815081,1487.500413178407
62,380.64001441813895,395.7074543926525,333.02208570211667,1534.1374208594173
67,423.34621702779253,434.0715775128321,371.8819534903007,1667.0960180704985
64,434.12325004273373,449.9209923952704,381.555698461997,1699.1420485065569
