Strategy,Pattern,Avg_Active_Replicas,CPU_Hours,Avg_Latency,P95_Latency,P99_Latency,Route_Changes
rr,bursty,5.0,16.45468705326049,366.06538292623054,417.3943290216976,431.4844636294534,3292
lc,bursty,5.0,16.45468705326049,366.0293761263605,417.73196686379987,433.0728311598806,3292
cilb,bursty,4.54,16.454687053260486,365.9665739092129,417.7317156427846,433.0732186186308,2687
