Replica_0,Replica_1,Replica_2,Replica_3,Replica_4
3.015582416140186,3.276024652001939,2.8916193566374675,3.0048736148457014,3.036379308316423
5.456131638468699,5.5559571974556174,5.531581404744231,5.896770910915571,5.875395852903408
8.659056491327378,8.495445954981383,8.92834334639832,8.563262995675302,8.571135308335501
11.302545479645065,11.1962128781696,11.341605586204066,11.780895411923739,11.617592101319607
14.71812392540664,14.595477820612697,14.45710487218695,14.426934144059718,14.55640153748905
17.22578972415,17.624093286420692,17.339032813623724,17.59648754580334,17.389804772033713
20.300055828575523,20.214679163188418,20.612614323984758,20.409769846872035,20.340535265661934
23.136203382795447,22.827901024330153,22.992048552657614,22.959404825461057,23.238645116876683
25.62216262663504,26.184060693639207,26.061933070176334,25.77458239159177,25.87134574304371
28.539495281214627,28.765831821623618,28.56517134447859,28.84614969977823,28.581284036330317
32.0731109127668,31.72969063105571,31.855244537415096,31.797563554920732,31.73925769565678
34.99157266750986,34.688143552775074,34.90501725939107,34.68924372910001,34.700230601949976
37.93864872860014,37.89101540426115,37.73361276139607,38.015037275906906,37.80386466781701
40.37177028404424,40.40089586395921,40.839142651257475,40.56989493269871,40.789206833131566
43.896341148171146,43.83966720038992,43.85917421241328,43.533672135465274,43.79609567410161
46.608670630358205,46.619992756841675,46.3838848173612,46.60698699214321,46.295965748645266
49.57767800537905,49.29359187972857,49.68531605005834,49.24183009982814,49.362702840820326
51.929984271610486,52.10116552136965,52.134784968478456,52.23343189862069,52.35015173427647
54.938362715424184,54.79584586249121,55.24819054428274,55.03479310910738,54.82557081420211
57.82258036398148,57.881666741932804,58.09110853346072,57.75845720334244,57.77575988138054
60.99311775527249,61.02221113447458,60.94561060792293,61.29788210712985,61.28861750735275
64.09593602045753,64.14666309579344,63.81758366973089,63.84905717359671,63.68732962535889
66.63939168904295,66.71070282997209,66.56479626750159,66.76274428823928,67.15150129706666
69.72635983781386,69.61719528196672,69.99163209352236,69.46296673955754,69.94924283083625
72.05752423596078,72.49772927277105,72.42555663592645,72.49982336346642,72.64189109330336
75.05575646223755,75.46155673979993,74.93207187402697,75.10180276685689,75.04670811505396
78.1057401357923,78.50683460830678,78.65398044907948,78.22390223624207,78.09893942832548
81.58653958602294,81.52794617056315,81.2447643652148,81.62511156834915,81.25410508583458
84.82672113082835,84.41011090251294,84.62363363884006,84.37633365556198,84.7440265951441
87.25091914340119,87.13161635426103,87.38632316229588,87.54216556852985,87.1162201141756
89.78258907898805,90.17099005478434,90.00097468850393,89.82317131320025,90.12305631343243
92.97509456309659,92.75041594759836,92.98616770469134,92.77811657925892,92.51016485703197
96.13832989935186,96.05505198837575,96.08307091047037,95.84463760704118,96.06066660438754
99.09718185434095,98.96339530960954,99.04790612576296,98.97826025884797,98.72178401808794
102.20379236353861,101.71292594254686,102.12634030573798,102.01393101503682,101.70185339922475
104.88918039155143,105.13101096737458,105.1472179745676,105.06319350698939,105.33975034994516
108.0412793527238,108.05118480249382,108.4233348845034,108.26227458378054,107.94452491274254
110.65617072488287,110.66134855636564,110.9149627387134,111.04036278411482,110.96747175861374
113.55746140612622,113.78900405063217,113.46468713261837,113.94156651678315,113.46460787385952
116.43395549505443,116.75080601652206,116.511304986717,116.70323863134038,116.93583454949969
119.3669992017723,119.35322442393291,119.6082252386003,119.21823007187099,119.36755964265744
122.37803621299203,122.36171909900591,122.17767346029714,122.50139728019256,122.29695768798626
125.15406193946737,125.55305785077779,125.70769381454227,125.40976136757787,125.34431485292303
128.16670252873348,128.11285664771458,128.0996699288428,128.42856834831034,128.37716241456687
131.03625085643728,131.4351412679524,131.086499420877,131.45880822216748,131.49722690313652
133.9817016414325,134.19271861517473,134.0252500746596,133.9970655621292,133.7581451755185
137.02220160710664,136.6852770204249,136.89131722300584,137.01471925650657,136.60988813876105
139.82145297973176,139.31477668746476,139.35319944884023,139.3380157899818,139.62074531223888
142.2282751464661,142.25513337720594,142.312076981169,142.37982935790538,142.35524791727812
145.10476916003105,144.71329766795935,144.9096783903053,145.14163519006036,144.99769816757893
148.06337734731497,147.90908037471115,148.04719326702835,148.08273306628868,147.76314370698344
151.05440585958837,151.31835984385305,150.98922514550355,151.01615105887046,151.2135196492292
154.06866768839177,154.324794540665,154.14831491437835,153.96375081071443,154.1282043742966
157.52461550805995,157.24300754826743,157.42497807012904,157.071939160574,156.96934909498054
160.3172842904253,160.07936497100107,159.88571070322615,160.01929682723664,159.86623177208168
162.57764085777075,162.92281708710277,162.85662147340722,162.75136820002433,162.7900438307393
165.73824697951176,166.04472222605116,165.81964669408745,165.46907778684283,165.80873423214217
168.8151989976338,168.56180429255647,168.64761903269863,168.53818838669036,168.91894972498466
171.57358382971438,171.15416521786125,171.22880216798345,171.40997530185032,171.33890637552668
174.55616234492274,174.38618513818307,174.38583046071597,174.58878743095093,174.23780526823734
176.8986921724908,177.25840357191956,177.01910012412483,177.20901359406426,177.27280716302053
180.56452053360175,180.17280367309593,180.1401034557823,180.6460287734819,180.20717489986347
183.5667789294129,183.67623385845206,183.6798709467776,183.25774828916823,183.46775613865344
186.87304755319562,186.5810506934886,186.61570092016922,186.50692244713093,186.56888590473557
189.69735785571038,189.49618419435112,189.43460393748694,189.85883661812855,189.63742595325536
192.12867357001426,192.38732907018252,192.36414530831445,192.48394305416292,192.55912229891814
195.26065460453043,195.34563913637467,194.87838564368113,195.0139832256178,195.10792264216443
197.87955746183835,197.80276793496975,197.97301073372037,198.06011842901967,197.8164669085143
201.38501550516924,200.8998189384779,200.93266339326593,201.22361491490955,201.0844647310413
204.65881029837988,204.56768839190042,204.06620236979478,204.1489908493777,204.08500957173482
207.0458696683673,207.14711585806143,207.55456242513787,207.21464014268543,207.23617520018513
210.16585654480485,210.06367227900375,209.98719395875318,209.96861754487153,209.95978649950166
212.76913042196955,213.06727662665293,212.99318711024472,212.62123664158605,212.93305382611481
216.39957652930363,216.2350199678289,216.0354691984322,216.25899690497658,216.04843093036308
219.408958754474,219.3849573155144,219.20058671745582,219.27707442034958,219.56902464501124
221.86537243119668,222.35078248097835,222.17901518216743,222.06978081732476,222.0534200936156
225.27686392250735,225.25987820199242,224.95258389773363,225.1461211063076,225.3522151552939
228.40769053419208,228.55146493627066,228.37205478459927,228.2047596665888,228.24085290522763
231.28322170030685,231.4079306950076,231.55149392032996,231.2343611267531,231.23061024403123
233.72838655556032,234.27168167717227,233.96399166488763,233.81953466329708,234.07419695080648
237.10515255896956,236.84984078016194,236.89064819044304,236.65668766851334,236.92748403925748
239.63789714778048,239.41881476510017,239.66552599978363,239.82857333887702,239.55228947188013
242.56917013083537,243.0644218065743,243.02355419556372,243.00592441434404,243.09092017728662
246.19259880780265,246.03947658061026,246.23731676322197,246.0874146867691,246.22870847812388
249.1319574453252,248.99398070843463,249.2946178954863,249.23480256637623,249.09768942675478
252.00466345402972,252.1783643431229,251.806641330558,251.69357693916368,251.59973278795562
255.11530966370276,254.94422798466834,255.3319515735367,254.87104622245994,254.9202147805473
258.21435105920904,257.9239478999431,258.23693874996695,257.97795329675404,257.8160912401203
261.0958269706726,260.80659818935163,260.91265519007777,260.8268428324204,261.1429993545351
263.46302264819496,263.8920640284926,263.47715749095664,264.009512946705,263.81485530744
266.6433494665338,266.5695621618954,266.61862424656846,267.0644989823847,266.8281578146719
269.6922137264733,269.75965161387853,270.03426888470244,269.654653909704,269.6225378918901
272.5673393479081,272.6751918733864,272.4887990456652,272.48394215815,272.59503088654543
275.5200911961396,275.92174009410235,275.65741431410015,275.786468407597,275.5652429720268
278.862311183275,278.52361146709217,278.89262936024085,278.5355541110211,278.6824050233754
281.134357281639,281.3578411689853,281.3537731472753,281.49873625556467,281.1869345534406
284.1376994305682,283.9785222685497,284.25845036628886,284.3715392333667,283.89201568861563
286.5172961377537,286.85124749407,286.91597936650066,286.8180384530483,286.9494527693302
290.10367798101726,289.942632399794,289.6903032810535,289.94540038322884,289.9853465824784
292.9907548715632,293.09863859917954,292.66123435219595,292.80181208982304,292.91005921643387
