RPS,P95_Latency,P99_Latency,Avg_Latency,Total_CPU
26,133.64051629511692,139.96845810826665,105.79952487585128,698.5332375056902
21,117.56960473381609,123.53701131768412,95.31896253170689,627.0595928289031
24,136.5585495601382,142.54892046552442,109.75124820977383,718.1993209621265
23,132.2639798136603,138.42107369138512,107.96857983963513,651.2887354897755
27,168.03022865907406,176.78109256425867,134.9997007545983,816.5960044030098
25,236.12439520815786,244.97170969365294,202.8511452856111,1011.7172179203387
28,158.19296597391963,164.43758003574544,131.55968372415066,773.0993745195578
54,263.4575503697294,273.7242080949861,229.9983675460002,1107.3206271350602
60,208.345796724757,218.61884162564994,173.9293082863663,961.4361099782698
56,212.4630960679952,219.6715113352641,178.1345852361461,970.1571172152862
57,52.59748772013345,56.36608795550379,33.92998386823892,459.5714181074153
59,11.381323516517268,11.460762200072873,9.978457327040152,323.2830596801901
63,182.1831957373057,189.78300212560532,143.24850274780945,907.2963007203938
55,199.41400295058725,207.23411275368628,158.26272018600613,953.6725423457992
22,156.36872448375536,163.4207224448755,117.58418170247721,819.0066066796925
58,183.96617697688174,191.5237758394649,144.65732174488244,906.5086298752833
62,286.59737626447753,297.58696568271114,241.04762261238739,1226.5774433572587
65,297.54369566685585,305.13754718073415,250.9173295941252,1259.167063722928
