RPS,P95_Latency,P99_Latency,Avg_Latency,Total_CPU
5,11.138591490398852,11.235127459597889,10.11808346106784,3.8793679698680883
6,11.2741152322203,11.381288992972577,10.013845887721079,9.87693192630018
7,11.242871351510164,11.37485444424407,10.041390387680186,16.478705940096496
8,11.351861021815582,11.42133465454884,10.11851164522247,23.772163166251005
9,11.377342239000486,11.422986959630204,10.097364827507393,32.11092929477567
12,11.388505654775983,11.444822477572671,10.052627196611684,55.30929516079356
11,11.378755174799421,11.446153947948586,10.062451961076684,51.42626190903814
13,11.401350123537808,11.459967191720882,10.062914764448632,51.88980639565029
14,11.399183465187292,11.45271819119286,10.050658742669741,75.13186985284278
15,11.389251244826523,11.447622795601823,9.99886956105914,91.20821129766415
16,11.388112468832189,11.445305091088603,9.991221069609576,99.1748853350248
18,11.379164410372447,11.455566456366665,9.998611192148944,130.06323555032873
17,11.383912817836624,11.454484721832012,10.004199247309863,129.86033201653288
21,11.378331846717732,11.486340940598467,10.011339125377182,183.44415837779397
23,11.37361511952422,11.485515115615257,10.007728867071902,184.18664546319394
22,11.365694488149328,11.486104880326474,9.996944018787012,215.48142752675406
25,11.360942481449694,11.485384056790544,9.974078478285087,260.7138214357084
24,11.36389389772484,11.485187468553471,9.969453426947009,246.63008198424603
27,11.362083935048451,11.485072792081846,9.950064807747987,266.76617071853815
28,11.94270232302597,14.183304996891687,10.126977219862873,326.1339789401043
26,11.359944022463639,11.45927034019045,9.979090791271155,319.72233078457367
29,18.46107498632265,20.249971806285433,11.145708480448475,378.2231628427324
31,31.093241900324458,35.33228023255254,15.00658450590251,427.53498422173334
33,21.84009579425187,25.666624485494822,11.2943879559937,393.8959732325246
30,33.99741032714468,39.049180816281,15.148235353837906,438.15643590611154
34,48.28229288236418,55.08612180640727,21.996584540160708,486.32324871239143
38,81.04308126619583,87.49393357657311,46.70647544667007,583.8351953269416
36,77.08161329444583,83.58925434962883,42.715194871277326,572.0916557709133
35,78.9115697654538,87.67078992478213,43.259958049882094,577.0327178574341
37,85.89874765308048,92.50301290847426,48.84500943310555,596.0322303330481
41,132.24920732700943,139.93614407892665,95.75151498410129,746.4260418038215
45,149.51351052452802,157.98811686984826,111.80382446878957,799.5420884980176
46,144.61144314583092,153.92200711137966,107.51707352942044,784.9476994130545
43,171.71374852764313,180.38640955132885,133.7742760357204,871.8068126389148
49,168.19894438161748,176.23180932425836,130.6444456274043,861.4797425126651
52,214.44493303369836,226.19010117204186,173.04112791647552,1001.7942991563777
47,219.71796263914842,226.32251929026393,177.81916944393907,1017.0855883323559
55,238.15788994362467,246.60491021403828,194.53556217642742,1070.7495883271
51,244.27045450979196,258.0265394537956,202.6335915382731,1095.8525980623006
48,260.5846717720518,270.91822702561194,217.80721394282898,1144.3407143488052
53,261.03740215721945,270.4893385780349,218.20718465505115,1145.2954973989192
59,307.35931093454843,318.1529859114455,262.62238642020293,1295.3632366072195
56,360.9842789954351,374.4351332977669,313.06755763436996,1466.447115495815
50,302.3878683640058,314.67990724615055,259.0151731137579,1282.3524262995488
61,314.67959708986393,325.80549039555086,268.2116740066313,1312.988115960077
58,356.6415060781989,367.2510481628689,305.0173246884347,1439.3911687294149
57,348.1106197760912,362.2077616551617,302.2856721321887,1427.7113447006923
60,367.7113437549164,379.57965869070307,319.47047589368304,1487.5004131784067
62,382.2889488867237,394.9867552883296,333.0604473078197,1534.1374208594173
67,421.9451290668241,434.8167328164155,371.73451133983133,1667.0960180704985
64,434.6343848588378,448.5373104544992,381.5008631704811,1699.1420485065566
