strategy,active_replicas,p90_latency,p99_latency
CILB,3.6293234625089856,8040.407126239444,8040.407126239444
Least-CPU,2.9224811990059782,8390.46694842298,8390.46694842298
Round-Robin,3.1194586724243663,8836.32840543667,8836.250812455564
