strategy,active_replicas,p90_latency,p99_latency
CILB,7.066666666666666,4491.620483753359,4491.620483753359
Least-CPU,8.883333333333333,4737.213245094797,4737.213245094797
Round-Robin,8.908333333333333,4929.250512279303,4929.396371218986
