pattern,comparison,active_replicas_reduction,p95_latency_change,p99_latency_change
stable,CILB vs RR,43.833333333333336,36.77437431685873,36.77437431685873
stable,CILB vs LC,43.64548494983278,48.63142315808696,48.63142315808696
bursty,CILB vs RR,43.49999999999999,40.74116619016536,40.74116619016536
bursty,CILB vs LC,43.49999999999999,50.5461375594795,50.539854387826075
ramp-up,CILB vs RR,42.608695652173914,29.262092137715435,29.262092137715435
ramp-up,CILB vs LC,40.43321299638989,42.763120623750794,42.7600683689579
