timestamp,pod_name,cpu_usage,memory_usage
2025-03-29 03:19:23,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:23,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:23,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:23,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:25,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:25,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:25,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:25,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:25,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:25,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:25,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:25,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:25,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:25,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:25,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:25,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:26,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:26,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:26,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:26,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:26,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:26,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:26,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:26,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:26,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:26,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:26,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:26,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:27,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:27,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:27,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:27,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:27,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:27,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:27,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:27,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:27,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:27,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:27,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:27,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:28,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:28,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:28,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:28,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:28,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:28,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:28,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:28,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:28,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:28,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:28,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:28,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:29,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:29,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:29,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:29,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:29,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:29,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:29,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:29,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:29,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:29,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:29,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:29,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:30,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:30,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:30,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:30,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:30,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:30,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:30,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:30,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:30,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:30,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:30,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:30,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:31,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:31,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:31,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:31,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:31,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:31,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:31,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:31,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:31,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:31,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:31,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:31,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:32,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:32,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:32,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:32,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:32,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:32,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:32,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:32,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:32,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:32,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:32,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:32,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:34,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:34,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:34,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:34,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:34,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:34,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:34,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:34,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:34,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:34,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:34,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:34,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:35,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:35,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:35,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:35,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:35,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:35,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:35,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:35,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:35,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:35,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:35,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:35,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:36,adservice-78bb57dfbd-qlv75,33m,136Mi
2025-03-29 03:19:36,cartservice-5b68c68477-hm8dm,46m,100Mi
2025-03-29 03:19:36,checkoutservice-854f5747fd-khqzm,22m,56Mi
2025-03-29 03:19:36,currencyservice-7d8f79889b-cljl5,116m,88Mi
2025-03-29 03:19:36,emailservice-6787c86dcd-7qmsx,14m,95Mi
2025-03-29 03:19:36,frontend-6659c9d65f-92czd,265m,66Mi
2025-03-29 03:19:36,loadgenerator-5d95b8b6f-hqhbt,41m,93Mi
2025-03-29 03:19:36,paymentservice-7fb78c9cdb-dpzlk,12m,73Mi
2025-03-29 03:19:36,productcatalogservice-589d6845fd-5v6pn,132m,62Mi
2025-03-29 03:19:36,recommendationservice-6cf78cdb66-9nvrf,56m,87Mi
2025-03-29 03:19:36,redis-cart-bf5c68f69-fkddf,24m,53Mi
2025-03-29 03:19:36,shippingservice-584657c6cb-kbbzp,19m,57Mi
2025-03-29 03:19:37,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:37,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:37,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:37,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:37,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:37,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:37,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:37,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:37,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:37,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:37,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:37,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:38,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:38,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:38,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:38,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:38,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:38,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:38,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:38,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:38,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:38,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:38,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:38,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:39,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:39,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:39,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:39,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:39,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:39,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:39,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:39,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:39,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:39,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:39,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:39,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:40,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:40,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:40,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:40,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:40,emailservice-6787c86dcd-7qmsx,51m,95Mi
