Time (min),Traffic,Baseline_Replicas,Baseline_CPU,Baseline_Latency,Baseline_p50,Baseline_p95,Baseline_p99,Decoupled_Replicas,Decoupled_CPU,Decoupled_Latency,Decoupled_p50,Decoupled_p95,Decoupled_p99
0.0,12.483570765056164,2.0,62.41785382528082,28.37818542853958,28.37818542853958,28.37818542853958,28.37818542853958,2.0,62.41785382528082,31.924501633336977,31.924501633336977,31.924501633336977,31.924501633336977
0.25252525252525254,11.616370801836384,2.0,58.08185400918192,28.19963635906024,28.28891089379991,28.369257975065615,28.376399937844788,2.0,58.08185400918192,30.162496057327427,31.043498845332202,31.8364013545365,31.906881577576883
0.5050505050505051,17.85382730588808,2.0,89.26913652944039,43.949139231666656,28.37818542853958,42.39204385135395,43.637720155604114,2.0,89.26913652944039,46.80067075107075,31.924501633336977,45.31305383929737,46.50314736871607
0.7575757575757576,24.53822620511705,2.0,100.0,59.74101097434938,36.16366233010312,57.37223021294697,59.26725482206889,2.0,100.0,63.453169616862425,39.362586192203864,60.95529478699367,62.95359465088867
1.0101010101010102,18.06000235715255,2.0,90.30001178576273,44.827434469549345,43.949139231666656,56.75829567338937,59.144467914157374,2.0,90.30001178576273,42.39466715696719,42.39466715696719,60.12266984370409,62.787069662230756
1.2626262626262628,20.367776753715635,2.0,100.0,51.727543597918164,44.388286850608,57.73764413024158,59.34033760552782,2.0,100.0,49.04379180445884,44.59766895401897,59.85082516376153,62.73270072624225
1.5151515151515151,31.742217923690802,2.0,100.0,83.12791661164808,44.827434469549345,76.11184492045845,81.72470227341014,2.0,100.0,80.38561534364433,46.80067075107075,75.30588162560974,79.36966860003741
1.7676767676767677,29.991019799610697,2.0,100.0,75.32670512469042,48.27748903373376,80.3974925912129,82.58183180756103,2.0,100.0,76.00512140085115,47.922231277764794,78.85244246366672,80.07898076764882
2.0202020202020203,26.1141665318637,2.0,100.0,65.80051711110477,51.727543597918164,80.00743201686501,82.50381969269147,2.0,100.0,66.31551170227134,49.04379180445884,78.63341776652706,80.03517582822087
2.272727272727273,33.48203098716059,2.0,100.0,83.55618563636914,59.74101097434938,83.3848780264807,83.52192411439145,2.0,100.0,91.41054044921091,63.453169616862425,87.00057040698428,90.52854644076558
2.5252525252525255,30.75983461286076,2.0,100.0,73.06204410155382,65.80051711110477,83.3848780264807,83.52192411439145,2.0,100.0,78.04136755353824,66.31551170227134,87.00057040698428,90.52854644076558
2.777777777777778,33.0559666167641,2.0,100.0,82.58688879101182,73.06204410155382,83.3848780264807,83.52192411439145,2.0,100.0,84.91104782227146,76.00512140085115,88.81074339843512,90.89058103905576
3.0303030303030303,38.90211905013786,2.0,100.0,97.3757580452267,75.32670512469042,91.84792908168367,96.2701922525181,2.0,100.0,99.16330115233106,78.04136755353824,96.062196871083,98.54308029608144
3.282828282828283,30.43359877671101,2.0,100.0,81.0104811667481,81.0104811667481,91.84792908168367,96.2701922525181,2.0,100.0,77.3867794443891,78.04136755353824,96.062196871083,98.54308029608144
3.5353535353535355,33.68310314512714,2.0,100.0,83.82303593325561,82.58688879101182,91.95466920043826,96.29154027626902,2.0,100.0,83.57721937353716,80.38561534364433,96.062196871083,98.54308029608144
3.787878787878788,41.80394696917975,2.0,100.0,100.60309468466723,82.58688879101182,99.31216002889101,100.34490775351199,2.0,100.0,101.51793844098654,83.57721937353716,100.57608352552435,101.3295674578941
4.040404040404041,41.8589213214048,2.0,100.0,99.9305764605895,83.55618563636914,100.33408739503614,100.54929322674101,2.0,100.0,98.45434957092486,84.91104782227146,100.57608352552435,101.3295674578941
4.292929292929293,50.802005893745594,2.0,100.0,97.66264392476094,83.82303593325561,100.33408739503614,100.54929322674101,2.0,100.0,99.52636278651998,91.41054044921091,100.72130817919992,101.35861238862921
4.545454545454546,46.998341160855475,2.0,100.0,102.28564562903004,97.3757580452267,101.61262525128491,102.15104155348102,2.0,100.0,99.0292729043418,98.45434957092486,100.72130817919992,101.35861238862921
4.7979797979797985,46.78463533947738,2.0,100.0,101.50386606537354,97.66264392476094,101.97293380356744,102.22310326393752,2.0,100.0,100.16374827877264,99.0292729043418,100.97626237610098,101.40960322800943
5.050505050505051,63.482089998453915,3.0,100.0,111.58206389408609,99.9305764605895,107.86349658806367,110.83835043288161,2.0,100.0,104.62931713334702,99.16330115233106,103.38476565640282,104.38040683795818
5.303030303030304,57.33265695910578,2.0,100.0,108.18122509041052,100.60309468466723,110.22172837261586,111.30999678979204,2.0,100.0,96.26546961481651,99.0292729043418,103.38476565640282,104.38040683795818
5.555555555555556,61.10687179267038,3.0,100.0,122.8055886218722,101.50386606537354,118.31617873075776,121.90770664364932,2.0,100.0,101.37252038074902,99.52636278651998,103.38476565640282,104.38040683795818
5.808080808080809,55.95318214585579,2.0,100.0,117.19629787441544,102.28564562903004,120.5618723228895,122.35684536207566,2.0,100.0,96.7745682576207,99.52636278651998,103.38476565640282,104.38040683795818
6.0606060606060606,62.662701761989474,3.0,100.0,121.17371418760054,108.18122509041052,122.15283884816354,122.67503866713047,2.0,100.0,99.05613626842113,99.05613626842113,103.32659843230782,104.36877339313918
6.313131313131313,68.24692064085701,3.0,100.0,124.38091125161996,111.58206389408609,123.75078219972086,124.25488544124015,2.0,100.0,102.17790119393473,99.52636278651998,103.6487507575821,104.43320385819403
6.565656565656566,64.24503211288848,3.0,100.0,108.01892734973862,111.58206389408609,123.75078219972086,124.25488544124015,2.0,100.0,100.12856003819093,100.12856003819093,103.6487507575821,104.43320385819403
