Algorithm,P90,P99
Random,428,974
Round Robin,442,996
Weighted RR,396,864
CPU-P2C,374,784
Least Loaded,408,842
LL-P2C,384,810
YARP-P2C,350,778
Linear,312,662
C3,318,656
Prequal,300,630
Ring Hash,336,708
Maglev,326,684
Ours,294,624
