Algorithm,P90,P99
Random,367,1223
Round Robin,389,TO
Weighted RR,318,892
CPU-P2C,293,725
Least Loaded,276,696
LL-P2C,283,812
YARP-P2C,352,1017
Linear,357,973
C3,301,837
Prequal,289,718
Ring Hash,378,TO
Maglev,325,903
Ours,280,709
